legoid,name,hex,r,g,b
72,Dark Bluish Gray,6C6E68,108,110,104
8,Dark Gray,6D6E5C,109,110,92
71,Light Bluish Gray,A0A5A9,160,165,169
76,Speckle DBGray-Silver,6C6E68,108,110,104
1016,Modulex Charcoal Gray,595D60,89,93,96
1014,Modulex Light Bluish Gray,AfB5C7,175,181,199
1040,Modulex Foil Dark Gray,595D60,89,93,96
1017,Modulex Tile Gray,6B5A5A,107,90,90
1015,Modulex Light Gray,9C9C9C,156,156,156
148,Pearl Dark Gray,575857,87,88,87
1041,Modulex Foil Light Gray,9C9C9C,156,156,156
150,Pearl Very Light Gray,ABADAC,171,173,172
7,Light Gray,9BA19D,155,161,157
151,Very Light Bluish Gray,E6E3E0,230,227,224
135,Pearl Light Gray,9CA3A8,156,163,168
503,Very Light Gray,E6E3DA,230,227,218
132,Speckle Black-Silver,05131D,5,19,29
0,Black,05131D,5,19,29
32,Trans-Black IR Lens,635F52,99,95,82
75,Speckle Black-Copper,05131D,5,19,29
64,Chrome Black,1B2A34,27,42,52
1018,Modulex Black,4D4C52,77,76,82
40,Trans-Black,635F52,99,95,82
133,Speckle Black-Gold,05131D,5,19,29
183,Pearl White,F2F3F2,242,243,242
79,Milky White,FFFFFF,255,255,255
1013,Modulex White,F4F4F4,244,244,244
15,White,FFFFFF,255,255,255
1000,Glow in Dark White,D9D9D9,217,217,217
